Date,Line item,Key-values,Total impressions
12/11/24,CBO_GSM-Grosvenor_Crains-Forum_Article_SP_MLT_310724 (182358),refresh=true,44
12/11/24,CBO_Greater-Chicago-Food-Depository_Daily-Gist_SP_MLT_251124 (187850),refresh=true,85
12/11/24,CBO_House_Backfill_MLT_062218,refresh=true,"1,424"
12/11/24,CBO_House_Blocking-Pixels (AdUnit),refresh=true,26
12/11/24,CBO_House_Companies-on-the-Move_ROS_Bombora_010124,refresh=true,224
12/11/24,CBO_House_Crain-Currency-Evergreen-Brand-Awareness-Campaign_ROS_MLT_301024,refresh=true,"1,070"
12/11/24,CBO_House_Crains-Career-Center_ROS_MLT_211022,refresh=true,"1,454"
12/11/24,CBO_House_Crains-Partner-Events_ROS_MLT_190822,refresh=true,"1,435"
12/11/24,CBO_House_Dining&Entertainment-Guide_Article_Native_170524,refresh=true,"4,976"
12/11/24,CBO_House_Dining&Entertainment-Guide_ROS_MLT_170524,refresh=true,"7,240"
12/11/24,CBO_House_Dining-and-Entertainment-Guide_ROS_Bombora_MLT_010124,refresh=true,15
12/11/24,CBO_House_Editorial-Equity-Promotion_ROS_MLT_010724,refresh=true,"1,536"
12/11/24,CBO_House_Forum-Editorial-Promotion-Campaign_ROS_MLT_010724,refresh=true,"1,515"
12/11/24,CBO_House_Giving-Guide_ROS_MLT_200524,refresh=true,"1,500"
12/11/24,CBO_House_Green-Market-Report_ROS_MLT_030423,refresh=true,"1,043"
12/11/24,CBO_House_Lead-Gen-Campaign_Classifieds_ROS_Bombora_010124,refresh=true,"1,477"
12/11/24,CBO_House_MBA-Guide_ROS_MLT_011123,refresh=true,"1,462"
12/11/24,CBO_House_Meetings-and-Events-Guide-Promo_ROS_Bombora_MLT_150124,refresh=true,110
12/11/24,CBO_House_People-on-the-Move_ROS_Bombora_MLT_010124,refresh=true,236
12/11/24,CBO_House_Power-Breakfast_ROS_MLT_010124,refresh=true,"1,444"
12/11/24,CBO_Intersect-Illinois_Article_SP_MLT_170624 (174125),refresh=true,8
12/11/24,CBO_It-Takes-A-Village_Article_SP_MLT_230924 (182196),refresh=true,58
12/11/24,CBO_Joyce-Foundation_Crains-Forum_Article_SP_MLT_010724 (174481),refresh=true,43
12/11/24,CBO_Leadership-Greater-Chicago_Home_Native_MLT_091224 (190592),refresh=true,182
12/11/24,CBO_Leopardo-Companies_Article_SP_MLT_150724 (176528),refresh=true,1
12/11/24,CBO_Loyola-University-Chicago_Article_SP_MLT_081024 (182867),refresh=true,289
12/11/24,CBO_Luries-Children_Article_SP_MLT_200524 (176164),refresh=true,2
12/11/24,CBO_McAndrews-Held-Malloy_Article_SP_141024 (164320),refresh=true,3
12/11/24,CBO_Metropolitan-Peace-Initiatives_Article_SP_MLT_200524 (170236),refresh=true,6
12/11/24,CBO_Old-National-Bank_Equity_Article_SP_MLT_010724 (179668),refresh=true,154
12/11/24,CBO_Powering-Chicago_Article_SP_MLT_290424 (169334),refresh=true,2
12/11/24,CBO_Valley-National-Bank_Article_SP_MLT_071024 (169843),refresh=true,3
12/11/24,CBO_Willkie-Farr-and-Gallagher-LLP_SP_Notable-Women-In-Law-2024_150224  (162665),refresh=true,1
12/11/24,CBO_Wintrust_M10_SP_Article_091224_AV (168126),refresh=true,448
12/11/24,CCL_Benesch_Article_SP_MLT_010424 (160011),refresh=true,13
12/11/24,CCL_Blocking-Pixel_Custom-Content,refresh=true,63
12/11/24,CCL_Blocking_Pixel_Natives_Forum (AdUnit),refresh=true,4
12/11/24,CCL_CIBC-Bank_Crains-Forum_SP_MLT_010724 (179340),refresh=true,4
12/11/24,CCL_Fisher-and-Phillips-LLP_Home_Native_MLT_091224 (191369),refresh=true,30
12/11/24,CCL_House_Blocking_Pixels_REC-Any-inline_ads_AdUnit,refresh=true,66
12/11/24,CCL_House_CCLB-Notable-Litigators-&-Trial-Attorneys_ROS_MLT_221124,refresh=true,359
12/11/24,CCL_House_CCLB-Notable-Litigators-&-Trial-Attorneys_ROS_Targeted_MLT_221124,refresh=true,2
12/11/24,CCL_House_Classifieds_ROS_MLT_Bombora_010124,refresh=true,311
12/11/24,CCL_House_Companies-on-the-Move_ROS_Bombora_MLT_010124,refresh=true,36
12/11/24,CCL_House_Companies-on-the-Move_ROS_MLT_190822,refresh=true,322
12/11/24,CCL_House_Crain-Currency-Evergreen-Brand-Awareness_ROS_MLT_301024,refresh=true,256
12/11/24,CCL_House_Crains-Career-Center_ROS_MLT_211022,refresh=true,197
12/11/24,CCL_House_Crains-Partner-Events_ROS_MLT_190822,refresh=true,323
12/11/24,CCL_House_Dining-&-Entertainment_ROS_MLT_170524,refresh=true,329
12/11/24,CCL_House_Forum-Editorial_ROS_MLT_280224,refresh=true,371
12/11/24,CCL_House_Green-Market-Report_ROS_MLT_030423,refresh=true,276
12/11/24,CCL_House_People-on-the-Move_ROS_Bombora_MLT_010124,refresh=true,32
12/11/24,CCL_House_People-on-the-Move_ROS_MLT_190822,refresh=true,286
12/11/24,CCL_House_Power-Breakfast_ROS_MLT_010124,refresh=true,327
12/11/24,CCL_House_Women-of-Influence-Nominations_ROS_MLT_111224,refresh=true,315
12/11/24,CCL_Renner-Otto_Home_Native_MLT_111124 (188524),refresh=true,30
12/11/24,CCL_The-Joyce-Foundation_Crains-Forum_SP_MLT_010724 (174436),refresh=true,"1,552"
12/11/24,CDO_Blocking-Pixel REC03 | REC04 | LB03,refresh=true,"1,169"
12/11/24,CDO_Blocking_Pixel_Native (AdUnit) Content-Studio,refresh=true,18
12/11/24,CDO_Delta-Dental_Article_SP_MLT_091224-071225 (187554),refresh=true,18
12/11/24,CDO_Delta-Dental_Article_SP_MLT_281024-261025 (187552),refresh=true,10
12/11/24,CDO_Delta-Dental_Home_Native_MLT_091224-151224  (183262),refresh=true,99
12/11/24,CDO_Detroit-Region-Aerotropolis-Development-Corporation_Article_SP_MLT_270524-310525 (169874),refresh=true,2
12/11/24,CDO_Detroit-Region-Aerotropolis_Article_SP_MLT_181124-161125 (185474),refresh=true,48
12/11/24,CDO_Gallagher_Article_SP_MLT_240624-220625 (172227),refresh=true,1
12/11/24,CDO_Giving-Guide_Featured-Native_MLT_091224-151224,refresh=true,104
12/11/24,CDO_House_Blocking-Pixel (Display),refresh=true,27
12/11/24,CDO_House_Blocking-Pixel_Articles_Inline_300x250,refresh=true,2
12/11/24,CDO_House_Blocking-Pixel_Custom-Content,refresh=true,213
12/11/24,CDO_House_Classifieds_ROS_MLT_Bombora_010124-311224,refresh=true,399
12/11/24,CDO_House_Companies-on-the-Move_ROS_Bombora_MLT_010124-311224,refresh=true,35
12/11/24,CDO_House_Companies-on-the-Move_ROS_MLT_190822,refresh=true,433
12/11/24,CDO_House_Crain-Currency-Evergreen-Brand-Awareness_ROS_MLT_301024,refresh=true,297
12/11/24,CDO_House_Crain-Homes-Franklin_ROS_MLT_260424,refresh=true,354
12/11/24,CDO_House_Crain-Homes-Old-Salem_ROS_MLT_251024,refresh=true,326
12/11/24,CDO_House_Crain-Homes-Turtle-Ridge_ROS_MLT_230524,refresh=true,347
12/11/24,CDO_House_Crain-Homes-Westchester_ROS_MLT_010824,refresh=true,359
12/11/24,CDO_House_Crain`s-Detroit-Forum-Editorial_ROS_MLT_010324,refresh=true,441
